City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
3,Atuona,PF,76.68,few clouds,-9.8,-139.0333,Villa Enata
9,Bandarbeyla,SO,77.49,overcast clouds,9.4942,50.8122,JABIR HOTEL
11,Kumano,JP,76.12,scattered clouds,34.3442,132.5894,ホテル コラソン
20,Tete,MZ,80.69,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
29,Caravelas,BR,75.88,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
31,Labuan,MY,75.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
34,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
37,Taitung,TW,78.78,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
42,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
43,Isangel,VU,75.31,overcast clouds,-19.55,169.2667,Tanna Lodge
48,Puerto Ayacucho,VE,87.39,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
50,Pacific Grove,US,79.39,clear sky,36.6177,-121.9166,Lovers Point Inn
52,Mahibadhoo,MV,81.48,overcast clouds,3.7833,72.9667,Omadhoo Inn
53,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
61,Huilong,CN,75.92,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
62,Palauig,PH,80.73,overcast clouds,15.435,119.9045,Villa Raphael Resort
66,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
68,Santa Rosa,PH,79.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
72,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
80,Shaowu,CN,76.48,clear sky,27.3409,117.4831,Yijie Express Hotel
84,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
89,Resistencia,AR,82.38,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
91,Namatanai,PG,80.74,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
94,Kavieng,PG,82.76,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
95,Aswan,EG,87.71,clear sky,24.0934,32.907,Nuba Nile
98,Butaritari,KI,81.48,few clouds,3.0707,172.7902,Isles Sunset Lodge
102,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
107,Progreso,MX,87.12,few clouds,21.2833,-89.6667,Playa Linda Hotel
111,Pedro Ii,BR,84.0,overcast clouds,-4.4247,-41.4586,Opala Hotel
112,Sao Miguel Dos Campos,BR,76.5,clear sky,-9.7811,-36.0936,Pousada Campo Verde
113,Labuhan,ID,77.25,broken clouds,-6.8844,112.2051,DoubleFAG
115,Victoria,HK,83.32,few clouds,22.2855,114.1577,Mini Central
116,Sibolga,ID,75.81,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
117,Koungheul,SN,83.25,overcast clouds,13.9833,-14.8,hotel le PARADIS
120,Honiara,SB,80.98,broken clouds,-9.4333,159.95,Heritage Park Hotel
128,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
130,San Policarpo,PH,81.21,overcast clouds,12.1791,125.5072,Agapita M. Nicart
133,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
134,Georgetown,MY,78.89,light rain,5.4112,100.3354,Cititel Penang
136,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
137,Santarem,BR,85.93,overcast clouds,-2.4431,-54.7083,Hotel Imperador
138,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
139,Sorong,ID,77.52,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
146,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
151,Juarez,MX,85.01,broken clouds,31.7333,-106.4833,Hotel Santa Fe
162,Hithadhoo,MV,81.88,overcast clouds,-0.6,73.0833,Scoop Guest House
168,Tateyama,JP,75.6,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
171,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
173,Rach Gia,VN,79.27,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
178,Trincomalee,LK,79.77,light rain,8.5711,81.2335,Welcombe Hotel
186,Hobyo,SO,76.5,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
192,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
195,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
196,Peachland,CA,76.12,overcast clouds,49.7665,-119.7357,Wine Stopper B&B
197,Kahului,US,78.96,light rain,20.8947,-156.47,Maui Seaside Hotel
199,Arenapolis,BR,84.49,broken clouds,-14.4503,-56.8461,Mato Grosso Hotel
202,Salalah,OM,77.09,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
203,Lasem,ID,77.23,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
217,Hambantota,LK,79.0,overcast clouds,6.1241,81.1185,Bungalow 63
218,Coahuayana,MX,80.49,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
225,Ixtapa,MX,87.03,overcast clouds,20.7,-105.2,hotel la terminal
228,Satipo,PE,83.91,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
230,Saint George,US,85.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
232,Babu,CN,75.56,clear sky,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
233,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
235,Aden,YE,86.67,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
245,Akyab,MM,80.04,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
247,Phalodi,IN,83.84,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
249,Tual,ID,82.76,few clouds,-5.6667,132.75,Grand Vilia Hotel
