City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Ushuaia,AR,-54.8,-68.3,47.86,57,75,2.3,broken clouds
1,Saint-Philippe,RE,-21.3585,55.7679,71.19,81,43,12.08,scattered clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,53.62,79,0,11.5,clear sky
3,Atuona,PF,-9.8,-139.0333,76.68,72,16,18.37,few clouds
4,Liku,ID,-0.7275,119.8922,73.24,92,73,2.13,broken clouds
5,Mbandaka,CD,0.0487,18.2603,70.34,97,100,2.66,overcast clouds
6,Qaanaaq,GL,77.484,-69.3632,16.18,72,100,6.38,overcast clouds
7,Tilichiki,RU,60.4667,166.1,33.37,73,100,5.97,overcast clouds
8,Port Alfred,ZA,-33.5906,26.891,59.18,89,91,1.99,overcast clouds
9,Bandarbeyla,SO,9.4942,50.8122,77.49,80,92,19.24,overcast clouds
10,Saldanha,ZA,-33.0117,17.9442,57.92,77,0,7.94,clear sky
11,Kumano,JP,34.3442,132.5894,76.12,90,41,9.33,scattered clouds
12,Kodiak,US,57.79,-152.4072,51.31,76,100,8.05,overcast clouds
13,Bredasdorp,ZA,-34.5322,20.0403,51.91,83,0,6.98,clear sky
14,Rocha,UY,-34.4833,-54.3333,54.41,71,42,9.78,scattered clouds
15,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,40,11.5,scattered clouds
16,Rikitea,PF,-23.1203,-134.9692,70.93,73,93,18.03,overcast clouds
17,Adrar,MR,20.5022,-10.0711,94.6,24,95,6.4,overcast clouds
18,Lavrentiya,RU,65.5833,-171.0,37.85,70,1,5.53,clear sky
19,Paita,PE,-5.0892,-81.1144,66.96,77,66,18.1,broken clouds
20,Tete,MZ,-16.1564,33.5867,80.69,36,0,6.91,clear sky
21,Ostrovnoy,RU,68.0531,39.5131,42.87,92,100,8.72,overcast clouds
22,Coquimbo,CL,-29.9533,-71.3436,56.93,71,75,9.22,broken clouds
23,Victor Harbor,AU,-35.5667,138.6167,55.69,94,100,13.31,light rain
24,Cape Town,ZA,-33.9258,18.4232,58.12,70,0,3.44,clear sky
25,Richards Bay,ZA,-28.783,32.0377,70.48,83,97,17.43,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,8.05,broken clouds
27,Nikolskoye,RU,59.7035,30.7861,46.29,97,100,9.1,overcast clouds
28,Jamestown,US,42.097,-79.2353,57.02,49,0,8.05,clear sky
29,Caravelas,BR,-17.7125,-39.2481,75.88,80,32,11.05,scattered clouds
30,Chokurdakh,RU,70.6333,147.9167,20.98,92,100,5.39,overcast clouds
31,Labuan,MY,5.2767,115.2417,75.56,100,20,2.3,few clouds
32,Mataura,NZ,-46.1927,168.8643,46.47,55,100,5.5,overcast clouds
33,Huangpi,CN,30.8845,114.3779,69.91,78,100,11.18,overcast clouds
34,Vaini,TO,-21.2,-175.2,78.96,83,75,13.8,broken clouds
35,Hobart,AU,-42.8794,147.3294,48.25,72,40,17.27,scattered clouds
36,Oksfjord,NO,70.2396,22.3479,44.78,81,100,7.0,overcast clouds
37,Taitung,TW,22.7583,121.1444,78.78,78,37,4.32,scattered clouds
38,Ust-Nera,RU,64.5667,143.2,6.82,99,95,3.98,overcast clouds
39,Tambopata,PE,-12.7333,-69.1833,91.29,52,20,10.36,few clouds
40,Korla,CN,41.7597,86.1469,49.73,25,4,10.47,clear sky
41,Taltal,CL,-25.4,-70.4833,62.42,63,18,4.88,few clouds
42,Cayenne,GF,4.9333,-52.3333,84.24,70,0,9.22,clear sky
43,Isangel,VU,-19.55,169.2667,75.31,88,100,1.14,overcast clouds
44,Grindavik,IS,63.8424,-22.4338,48.15,93,100,20.71,moderate rain
45,Ancud,CL,-41.8697,-73.8203,48.24,91,100,10.8,light rain
46,Ippy,CF,6.2679,21.2247,69.26,98,93,3.67,overcast clouds
47,Alekseyevsk,RU,57.8406,108.3492,25.77,99,91,2.04,overcast clouds
48,Puerto Ayacucho,VE,5.6639,-67.6236,87.39,65,64,1.61,broken clouds
49,Pangnirtung,CA,66.1451,-65.7125,35.56,51,100,7.72,overcast clouds
50,Pacific Grove,US,36.6177,-121.9166,79.39,71,0,10.36,clear sky
51,Sangmelima,CM,2.9333,11.9833,67.53,98,92,2.62,overcast clouds
52,Mahibadhoo,MV,3.7833,72.9667,81.48,77,100,16.96,overcast clouds
53,Kapaa,US,22.0752,-159.319,84.18,62,0,14.97,clear sky
54,Barrow,US,71.2906,-156.7887,26.62,86,100,19.57,overcast clouds
55,Pokhara,NP,28.2333,83.9833,68.72,73,60,4.47,broken clouds
56,Shelburne,CA,44.0787,-80.2041,62.76,26,15,3.69,few clouds
57,Necochea,AR,-38.5473,-58.7368,54.72,61,59,17.72,broken clouds
58,Nuuk,GL,64.1835,-51.7216,36.88,87,75,5.99,broken clouds
59,Khatanga,RU,71.9667,102.5,14.34,90,99,7.63,overcast clouds
60,Severo-Kurilsk,RU,50.6789,156.125,49.66,89,98,8.84,overcast clouds
61,Huilong,CN,31.8111,121.655,75.92,92,86,25.81,overcast clouds
62,Palauig,PH,15.435,119.9045,80.73,74,86,4.09,overcast clouds
63,Newport,GB,51.5877,-2.9984,60.64,87,100,9.1,overcast clouds
64,Anadyr,RU,64.75,177.4833,30.7,100,100,0.0,light snow
65,Luang Prabang,LA,19.8856,102.1347,70.09,100,94,1.23,overcast clouds
66,Bathsheba,BB,13.2167,-59.5167,84.81,79,40,11.5,scattered clouds
67,Beyneu,KZ,45.3167,55.2,52.95,38,98,10.6,overcast clouds
68,Santa Rosa,PH,14.3122,121.1114,79.09,89,98,5.3,overcast clouds
69,Hilo,US,19.7297,-155.09,90.28,78,20,10.36,few clouds
70,Santa Maria,BR,-29.6842,-53.8069,65.68,63,0,5.21,clear sky
71,Ahipara,NZ,-35.1667,173.1667,57.94,67,71,9.86,broken clouds
72,Sola,VU,-13.8833,167.55,83.07,74,75,0.0,broken clouds
73,Klaksvik,FO,62.2266,-6.589,50.92,96,100,35.46,moderate rain
74,Cabo San Lucas,MX,22.8909,-109.9124,91.71,31,0,12.66,clear sky
75,Albany,US,42.6001,-73.9662,55.89,59,100,5.19,overcast clouds
76,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,83,75,2.3,broken clouds
77,Hermanus,ZA,-34.4187,19.2345,52.81,75,1,8.68,clear sky
78,Tuktoyaktuk,CA,69.4541,-133.0374,26.17,87,15,11.07,few clouds
79,Sitka,US,57.0531,-135.33,55.29,67,40,4.61,scattered clouds
80,Shaowu,CN,27.3409,117.4831,76.48,67,0,1.48,clear sky
81,Forestville,US,38.8451,-76.875,50.49,88,100,14.97,moderate rain
82,Chuy,UY,-33.6971,-53.4616,56.55,68,41,11.9,scattered clouds
83,Fortuna,US,40.5982,-124.1573,60.66,70,8,6.42,clear sky
84,Porto Novo,BJ,6.4965,2.6036,78.62,86,89,6.22,overcast clouds
85,Luderitz,NA,-26.6481,15.1594,60.37,73,0,19.89,clear sky
86,Ambilobe,MG,-13.2,49.05,67.62,77,29,3.06,scattered clouds
87,La Libertad,EC,-2.2333,-80.9,71.26,83,100,12.66,overcast clouds
88,Yellowknife,CA,62.456,-114.3525,45.43,57,100,8.34,overcast clouds
89,Resistencia,AR,-27.4606,-58.9839,82.38,23,0,11.5,clear sky
90,Hamilton,US,39.1834,-84.5333,71.6,40,0,11.5,clear sky
91,Namatanai,PG,-3.6667,152.4333,80.74,73,100,5.48,overcast clouds
92,Semey,KZ,50.4111,80.2275,31.82,77,0,7.05,clear sky
93,Berga,NO,60.392,5.328,54.16,85,75,10.36,broken clouds
94,Kavieng,PG,-2.5744,150.7967,82.76,72,98,11.5,overcast clouds
95,Aswan,EG,24.0934,32.907,87.71,23,0,11.14,clear sky
96,Chulym,RU,55.0997,80.9572,30.47,82,0,2.3,clear sky
97,Copiapo,CL,-27.3667,-70.3333,56.89,28,0,6.53,clear sky
98,Butaritari,KI,3.0707,172.7902,81.48,73,16,11.21,few clouds
99,Thompson,CA,55.7435,-97.8558,57.99,32,100,5.7,overcast clouds
100,Mahebourg,MU,-20.4081,57.7,70.25,78,40,11.5,scattered clouds
101,Busselton,AU,-33.65,115.3333,47.35,81,0,10.6,clear sky
102,Alofi,NU,-19.0595,-169.9187,80.49,74,75,12.66,broken clouds
103,Cap Malheureux,MU,-19.9842,57.6142,70.47,68,63,5.01,broken clouds
104,Kasongo-Lunda,CD,-6.4667,16.8167,70.45,96,95,1.54,light rain
105,Aksu,CN,41.1231,80.2644,57.51,29,100,5.79,overcast clouds
106,Salekhard,RU,66.53,66.6019,35.1,97,65,10.69,broken clouds
107,Progreso,MX,21.2833,-89.6667,87.12,67,14,13.09,few clouds
108,Esperance,AU,-33.8667,121.9,57.04,90,100,12.01,overcast clouds
109,Castro,BR,-24.7911,-50.0119,60.94,92,82,4.54,broken clouds
110,Vagur,FO,61.4732,-6.8119,50.45,96,100,35.97,moderate rain
111,Pedro Ii,BR,-4.4247,-41.4586,84.0,25,87,3.78,overcast clouds
112,Sao Miguel Dos Campos,BR,-9.7811,-36.0936,76.5,77,7,6.82,clear sky
113,Labuhan,ID,-6.8844,112.2051,77.25,86,59,11.21,broken clouds
114,Volnovakha,UA,47.601,37.4967,53.58,63,99,6.67,overcast clouds
115,Victoria,HK,22.2855,114.1577,83.32,85,11,3.0,few clouds
116,Sibolga,ID,1.7427,98.7792,75.81,89,100,1.36,light rain
117,Koungheul,SN,13.9833,-14.8,83.25,70,98,2.3,overcast clouds
118,Primero De Marzo,PY,-25.153,-56.928,73.09,55,1,4.52,clear sky
119,Iqaluit,CA,63.7506,-68.5145,34.7,93,100,21.0,overcast clouds
120,Honiara,SB,-9.4333,159.95,80.98,82,79,5.75,broken clouds
121,Coos Bay,US,43.3665,-124.2179,66.99,94,100,6.91,overcast clouds
122,Clyde River,CA,70.4692,-68.5914,30.43,100,100,8.05,light snow
123,Vrangel,RU,42.7297,133.0839,45.95,71,100,25.48,moderate rain
124,Maues,BR,-3.3836,-57.7186,90.75,46,73,2.04,broken clouds
125,Airai,TL,-8.9266,125.4092,61.66,92,99,0.92,overcast clouds
126,Norman Wells,CA,65.282,-126.8329,39.79,69,100,2.13,overcast clouds
127,Carnarvon,AU,-24.8667,113.6333,64.74,57,0,12.12,clear sky
128,Nhulunbuy,AU,-12.2333,136.7667,77.61,100,36,2.3,scattered clouds
129,Evensk,RU,61.95,159.2333,30.88,60,100,11.54,overcast clouds
130,San Policarpo,PH,12.1791,125.5072,81.21,78,100,3.71,overcast clouds
131,Hervey Bay,AU,-25.2986,152.8535,65.95,58,3,8.43,clear sky
132,Rybinsk,RU,58.0446,38.8426,47.75,82,37,16.33,scattered clouds
133,Avarua,CK,-21.2078,-159.775,78.85,73,40,19.57,scattered clouds
134,Georgetown,MY,5.4112,100.3354,78.89,90,20,2.3,light rain
135,De Aar,ZA,-30.6497,24.0123,62.19,26,59,9.69,broken clouds
136,Riyadh,SA,24.6877,46.7219,84.34,20,0,8.55,clear sky
137,Santarem,BR,-2.4431,-54.7083,85.93,52,99,3.8,overcast clouds
138,Oistins,BB,13.0667,-59.5333,84.29,79,40,11.5,scattered clouds
139,Sorong,ID,-0.8833,131.25,77.52,88,95,7.87,overcast clouds
140,Luzino,RU,54.9481,73.0353,29.97,74,0,4.47,clear sky
141,Verkhnevilyuysk,RU,63.4453,120.3167,27.18,93,100,6.71,overcast clouds
142,Port Elizabeth,ZA,-33.918,25.5701,61.09,81,0,18.41,clear sky
143,Nikolskiy,RU,60.9151,34.0645,47.12,96,100,12.08,overcast clouds
