City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Poltavka,RU,2022-09-29 16:19:34,54.3663,71.7632,29.07,77,53,6.98
1,Mayya,RU,2022-09-29 16:19:34,61.7333,130.2811,29.52,92,46,2.98
2,Tiksi,RU,2022-09-29 16:19:36,71.6872,128.8694,18.91,93,99,5.66
3,Nikolskoye,RU,2022-09-29 16:19:37,59.7035,30.7861,46.8,93,100,4.9
4,Butaritari,KI,2022-09-29 16:19:39,3.0707,172.7902,82.38,74,97,18.3
5,Atuona,PF,2022-09-29 16:15:20,-9.8,-139.0333,76.14,68,15,22.5
6,Rikitea,PF,2022-09-29 16:19:40,-23.1203,-134.9692,72.19,59,1,10.07
7,Touros,BR,2022-09-29 16:19:41,-5.1989,-35.4608,84.38,57,8,16.42
8,Clyde River,CA,2022-09-29 16:19:41,70.4692,-68.5914,28.63,93,100,2.3
9,Port Alfred,ZA,2022-09-29 16:19:42,-33.5906,26.891,61.18,96,100,1.01
10,Avarua,CK,2022-09-29 16:15:21,-21.2078,-159.775,73.45,83,75,12.66
11,Avera,US,2022-09-29 16:19:43,33.194,-82.5271,66.25,60,100,18.95
12,Mataura,NZ,2022-09-29 16:19:44,-46.1927,168.8643,30.13,97,5,2.28
13,Punta Arenas,CL,2022-09-29 16:16:09,-53.15,-70.9167,51.91,54,75,23.02
14,Hermanus,ZA,2022-09-29 16:19:45,-34.4187,19.2345,64.8,66,100,11.77
15,Bluff,NZ,2022-09-29 16:19:45,-46.6,168.3333,41.94,63,6,6.89
16,New Norfolk,AU,2022-09-29 16:19:46,-42.7826,147.0587,41.72,78,20,1.01
17,Esperance,AU,2022-09-29 16:19:46,-33.8667,121.9,53.02,86,0,14.72
18,Olafsvik,IS,2022-09-29 16:19:47,64.8945,-23.7142,47.79,89,100,20.33
19,Yellowknife,CA,2022-09-29 16:15:42,62.456,-114.3525,37.92,81,20,8.05
20,Suoyarvi,RU,2022-09-29 16:19:48,62.0833,32.35,37.65,97,100,6.42
21,Upernavik,GL,2022-09-29 16:19:49,72.7868,-56.1549,21.85,88,16,9.84
22,Mayo,US,2022-09-29 16:19:50,38.8876,-76.5119,68.23,61,0,13.8
23,Hobart,AU,2022-09-29 16:15:02,-42.8794,147.3294,43.05,90,36,1.14
24,Ostrovnoy,RU,2022-09-29 16:19:51,68.0531,39.5131,36.27,73,80,11.83
25,Arraial Do Cabo,BR,2022-09-29 16:19:52,-22.9661,-42.0278,69.66,88,100,12.66
26,Batagay-Alyta,RU,2022-09-29 16:19:53,67.8006,130.4114,19.53,96,98,2.75
27,Itarema,BR,2022-09-29 16:15:21,-2.9248,-39.9167,87.96,54,93,16.78
28,Vaini,TO,2022-09-29 16:19:54,-21.2,-175.2,69.96,88,75,8.05
29,Guanare,VE,2022-09-29 16:19:55,9.0418,-69.7421,87.3,64,36,3.13
30,Baoshan,CN,2022-09-29 16:19:56,46.5586,131.4244,59.97,70,26,11.48
31,Longyearbyen,SJ,2022-09-29 16:19:57,78.2186,15.6401,39.04,93,75,3.44
32,Bathsheba,BB,2022-09-29 16:19:57,13.2167,-59.5167,86.61,95,75,16.11
33,Ponnani,IN,2022-09-29 16:19:58,10.767,75.9252,76.32,87,100,5.79
34,Manono,CD,2022-09-29 16:19:59,-7.3,27.4167,71.71,85,91,3.71
35,Kapaa,US,2022-09-29 16:16:11,22.0752,-159.319,79.12,82,40,11.5
36,Saint-Pierre,RE,2022-09-29 16:20:00,-21.3393,55.4781,69.48,70,0,8.05
37,Tuktoyaktuk,CA,2022-09-29 16:20:01,69.4541,-133.0374,28.4,100,75,19.57
38,Ponta Do Sol,PT,2022-09-29 16:20:02,32.6667,-17.1,74.03,72,18,4.0
39,Kaitangata,NZ,2022-09-29 16:20:04,-46.2817,169.8464,33.8,88,12,6.4
40,Monrovia,LR,2022-09-29 16:20:05,6.3005,-10.7969,78.57,91,100,7.0
41,Khatanga,RU,2022-09-29 16:20:05,71.9667,102.5,28.6,95,100,5.48
42,Santa Marta,CO,2022-09-29 16:20:06,11.2408,-74.199,87.85,70,40,13.8
43,Luderitz,NA,2022-09-29 16:21:08,-26.6481,15.1594,63.68,69,7,18.48
44,Luxor,EG,2022-09-29 16:21:09,25.6989,32.6421,97.5,11,0,7.02
45,Zharkent,KZ,2022-09-29 16:21:10,44.1628,80.0,56.61,38,94,11.16
46,Hofn,IS,2022-09-29 16:21:11,64.2539,-15.2082,44.62,93,100,6.91
47,Kahului,US,2022-09-29 16:21:11,20.8947,-156.47,77.85,84,40,12.66
48,Helong,CN,2022-09-29 16:21:12,42.5397,128.9972,55.58,66,1,5.44
49,Pangnirtung,CA,2022-09-29 16:21:13,66.1451,-65.7125,32.61,73,93,3.78
50,Yumen,CN,2022-09-29 16:21:14,40.2833,97.2,63.36,26,0,7.54
51,Nyagan,RU,2022-09-29 16:21:15,62.1406,65.3936,27.0,73,30,2.8
52,Busselton,AU,2022-09-29 16:21:16,-33.65,115.3333,59.67,66,0,12.48
53,Beira,MZ,2022-09-29 16:21:16,-19.8436,34.8389,75.29,78,20,12.66
54,Camacha,PT,2022-09-29 16:21:17,33.0833,-16.3333,71.02,56,75,12.66
55,Dikson,RU,2022-09-29 16:21:18,73.5069,80.5464,34.74,85,100,13.58
56,Jamame,SO,2022-09-29 16:21:19,0.0722,42.7506,76.06,80,93,12.86
57,Churapcha,RU,2022-09-29 16:21:20,62.0025,132.4325,25.11,75,20,4.9
58,Faanui,PF,2022-09-29 16:21:21,-16.4833,-151.75,77.79,76,57,14.85
59,Ushuaia,AR,2022-09-29 16:21:22,-54.8,-68.3,53.26,37,20,10.36
60,Palmer,US,2022-09-29 16:20:13,42.1584,-72.3287,63.66,59,75,10.36
61,Puerto Ayora,EC,2022-09-29 16:21:23,-0.7393,-90.3518,75.16,92,92,5.99
